WB,COP
-39.80769231,11.14012739
-34.03846154,11.08280255
-28.84615385,11.02547771
-23.94230769,10.96815287
-17.01923077,10.85350318
-8.942307692,10.68152866
-4.903846154,10.56687898
-4.038461538,11.31210191
-1.153846154,11.31210191
4.903846154,11.25477707
8.942307692,11.14012739
14.13461538,10.96815287
17.01923077,10.62420382
17.88461538,5.751592357
17.88461538,5.23566879
21.05769231,5.063694268
23.94230769,4.891719745
27.11538462,4.605095541
29.71153846,4.433121019
32.88461538,4.146496815
36.92307692,3.802547771
39.80769231,3.573248408
